domain,pages_in_index,keys_top50,keys_top10,vis,dr,ai_answers_count
obikhod.ru,0,0,0,0,0,0
liwood.ru,155,5050,733,34,21,803
arborist.su,75,1329,378,18,24,210
arboristik.ru,65,1336,476,64,26,364
